BukitBatokEast Simei SungeiRoad TiongBahruStation DowntownCore Gombak Redhill RobertsonQuay Sudong GaliBatuMandai ChoaChuKang Bayshore Hillcrest Tyersall JooKoon Sembawang Tengah SimpangNorth Bendemeer NeeSoon PulauPunggolTimor LowerSeletar Tengeh Frankel SwissClub RiverValley LeonieHill BukitBatokEast
20
Tengeh Frankel Safti Tengeh
Redhill Redhill PearlsHill
Tengah GhimMoh
Sudong Sudong
DowntownCore DowntownCore
SwissClub CityHall SwissClub TanjongPagar
Sembawang Sembawang
SimpangNorth SimpangNorth
LeonieHill LeonieHill
LowerSeletar LowerSeletar
Simei Simei
ChoaChuKang ChoaChuKang
Tyersall Tyersall
JooKoon JooKoon
TiongBahruStation TiongBahruStation
NeeSoon NeeSoon
GaliBatuMandai GaliBatuMandai
RiverValley RiverValley
Hillcrest Hillcrest
SungeiRoad SungeiRoad
