Latias Dartrix Keldeo Raticate Primeape Elgyem Vibrava Relicanth Charmeleon Golisopod Exeggutor Wurmple Bounsweet Infernape Scolipede Staryu Luvdisc Petilil Noivern Talonflame Reshiram Palkia Jigglypuff Magearna Toxicroak Latias
25
Latias Shelgon
Wurmple Wurmple
Magearna Magearna
Jigglypuff Jigglypuff
Toxicroak Toxicroak
Primeape Primeape
Scolipede Scolipede
Luvdisc Luvdisc
Reshiram Reshiram
Dartrix Dartrix
Raticate Raticate
Palkia Palkia
Charmeleon Charmeleon
Relicanth Relicanth
Noivern Noivern
Bounsweet Bounsweet
Talonflame Talonflame
Elgyem Elgyem
Petilil Petilil
Exeggutor Exeggutor
Infernape Infernape
Staryu Staryu
Golisopod Golisopod
Vibrava Vibrava
Keldeo Keldeo
